epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9276.11,0.74641,0.76235,1.05312,0.70598,0.72537,0.76619,0.59794,0.81983,0.87372,1.12887,0.000240644,0.000240644,0.000240644
86,9385.23,0.74485,0.74969,1.05243,0.71077,0.71499,0.76078,0.59366,0.8172,0.88312,1.13209,0.000226497,0.000226497,0.000226497
87,9494.04,0.74221,0.75068,1.04904,0.70554,0.71898,0.76334,0.5959,0.81937,0.87381,1.13022,0.000212349,0.000212349,0.000212349
88,9602.44,0.74098,0.74433,1.05187,0.70939,0.7187,0.76107,0.59361,0.81941,0.88348,1.13369,0.000198202,0.000198202,0.000198202
89,9711.03,0.72909,0.73085,1.04692,0.72643,0.69868,0.76203,0.59484,0.82365,0.88289,1.1374,0.000184055,0.000184055,0.000184055
90,9819.62,0.73429,0.73607,1.0467,0.70243,0.71041,0.76025,0.5933,0.82023,0.88699,1.1346,0.000169908,0.000169908,0.000169908
91,9929.61,0.66494,0.61332,1.00197,0.69661,0.71007,0.75757,0.5873,0.8337,0.89867,1.14058,0.000155761,0.000155761,0.000155761
92,10037.8,0.65223,0.58887,0.99934,0.70014,0.71015,0.75734,0.5899,0.82725,0.89047,1.13916,0.000141614,0.000141614,0.000141614
93,10145.9,0.63783,0.56923,0.98775,0.69151,0.72429,0.75854,0.59254,0.82434,0.89314,1.13633,0.000127467,0.000127467,0.000127467
94,10253.7,0.63892,0.56484,0.98833,0.69259,0.72641,0.75818,0.59102,0.83128,0.89711,1.14196,0.00011332,0.00011332,0.00011332
95,10362.5,0.64392,0.56841,0.98764,0.70151,0.71381,0.75769,0.59199,0.82593,0.89953,1.13824,9.91726e-05,9.91726e-05,9.91726e-05
96,10470.2,0.63399,0.55251,0.98381,0.69057,0.72506,0.75727,0.59411,0.82073,0.89745,1.13473,8.50255e-05,8.50255e-05,8.50255e-05
97,10577.6,0.62943,0.54911,0.98285,0.6985,0.71782,0.75837,0.59434,0.82051,0.90013,1.13472,7.08784e-05,7.08784e-05,7.08784e-05
98,10685.9,0.62649,0.54621,0.97916,0.70402,0.71059,0.75607,0.59275,0.82015,0.90067,1.13427,5.67313e-05,5.67313e-05,5.67313e-05
99,10792.6,0.62581,0.54054,0.98138,0.69353,0.71923,0.75778,0.59342,0.82448,0.90137,1.13761,4.25842e-05,4.25842e-05,4.25842e-05
100,10899.4,0.62276,0.52837,0.97736,0.70136,0.7109,0.75678,0.59205,0.82175,0.90469,1.13517,2.84371e-05,2.84371e-05,2.84371e-05
